Player,Team,Pos,G,GS,QBrec,Cmp,Pass Attempts,Cmp%,Pass Yards,Pass TD,TD%,Int,Int%,Passing 1D,Pass (Lng),Pass Yards/Att,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Rush Att,Rush Yards,Rush TD,Rushing 1D,Rush (Lng),Rush Yards/Att,Rush Yards/Game,RB Fumble,Tgt,Rec,Receiving Yards,Y/R,Receiving TD,Receiving 1D,Receiving (Lng),Y/Tgt,R/G,Receiving Yards/Game,WR Fumble,Yards after Catch,Win,Loss,Tie,Full Name,Conference,Division
Elijah Moore,CLE,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,3,9,3.0,0,1,4,1.5,3.0,9.0,0,1.5,0,0,0,Cleveland Browns,AFC,AFC North
K.J. Osborn,NWE,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,3,21,7.0,0,1,9,3.5,3.0,21.0,0,3.5,0,0,0,New England Patriots,AFC,AFC East
Alec Pierce,IND,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,125,41.7,1,2,60,41.7,3.0,125.0,0,0.0,0,0,0,Indianapolis Colts,AFC,AFC South
Kyle Pitts,ATL,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,26,8.7,1,1,12,8.7,3.0,26.0,0,0.0,0,0,0,Atlanta Falcons,NFC,NFC South
Tony Pollard,TEN,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,3,12,4.0,0,0,8,3.0,3.0,12.0,0,1.0,0,0,0,Tennessee Titans,AFC,AFC South
Calvin Ridley,TEN,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,3,50,16.7,0,2,22,7.1,3.0,50.0,0,9.6,0,0,0,Tennessee Titans,AFC,AFC South
Brian Robinson Jr.,WAS,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,3,49,16.3,0,1,32,12.3,3.0,49.0,0,4.0,0,0,0,Washington Commanders,NFC,NFC East
Dalton Schultz,HOU,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,16,5.3,0,0,7,5.3,3.0,16.0,0,0.0,0,0,0,Houston Texans,AFC,AFC South
Rashid Shaheed,NOR,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,3,73,24.3,1,2,59,14.6,3.0,73.0,0,9.700000000000001,0,0,0,New Orleans Saints,NFC,NFC South
Khalil Shakir,BUF,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,42,14.0,1,2,19,14.0,3.0,42.0,0,0.0,0,0,0,Buffalo Bills,AFC,AFC East
Darius Slayton,NYG,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,3,26,8.7,0,2,11,6.5,3.0,26.0,1,2.1999999999999993,0,0,0,New York Giants,NFC,NFC East
Amon-Ra St. Brown,DET,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,3,13,4.3,0,0,5,2.2,3.0,13.0,0,2.0999999999999996,0,0,0,Detroit Lions,NFC,NFC North
Rhamondre Stevenson,NWE,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,6,2.0,0,0,6,2.0,3.0,6.0,1,0.0,0,0,0,New England Patriots,AFC,AFC East
Adam Thielen,CAR,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,3,49,16.3,0,2,32,12.3,3.0,49.0,0,4.0,0,0,0,Carolina Panthers,NFC,NFC South
Christian Watson,GNB,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,3,13,4.3,1,1,6,2.6,3.0,13.0,0,1.6999999999999997,0,0,0,Green Bay Packers,NFC,NFC North
Kyren Williams,LAR,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,4,1.3,0,0,8,1.3,3.0,4.0,0,0.0,0,0,0,Los Angeles Rams,NFC,NFC West
Brandon Aiyuk,SFO,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,2,28,14.0,0,2,14,5.6,2.0,28.0,0,8.4,0,0,0,San Francisco 49ers,NFC,NFC West
Mark Andrews,BAL,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,14,7.0,0,1,11,7.0,2.0,14.0,0,0.0,0,0,0,Baltimore Ravens,AFC,AFC North
Saquon Barkley,PHI,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,23,11.5,1,1,18,11.5,2.0,23.0,0,0.0,0,0,0,Philadelphia Eagles,NFC,NFC East
Rashod Bateman,BAL,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,2,53,26.5,0,2,38,10.6,2.0,53.0,0,15.9,0,0,0,Baltimore Ravens,AFC,AFC North
Zach Charbonnet,SEA,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,29,14.5,1,1,30,9.7,2.0,29.0,0,4.800000000000001,0,0,0,Seattle Seahawks,NFC,NFC West
Amari Cooper,CLE,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,2,16,8.0,0,2,10,1.8,2.0,16.0,0,6.2,0,0,0,Cleveland Browns,AFC,AFC North
Emari Demercado,ARI,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,26,13.0,0,1,24,13.0,2.0,26.0,0,0.0,0,0,0,Arizona Cardinals,NFC,NFC West
Demario Douglas,NWE,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,12,6.0,0,1,9,4.0,2.0,12.0,0,2.0,0,0,0,New England Patriots,AFC,AFC East
Greg Dulcich,DEN,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,12,6.0,0,0,7,4.0,2.0,12.0,0,2.0,0,0,0,Denver Broncos,AFC,AFC West
Ezekiel Elliott,DAL,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,9,4.5,0,1,9,4.5,2.0,9.0,0,0.0,0,0,0,Dallas Cowboys,NFC,NFC East
Travis Etienne,JAX,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,15,7.5,0,1,12,5.0,2.0,15.0,1,2.5,0,0,0,Jacksonville Jaguars,AFC,AFC South
Noah Fant,SEA,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,2,11,5.5,0,0,9,2.8,2.0,11.0,0,2.7,0,0,0,Seattle Seahawks,NFC,NFC West
C.J. Ham,MIN,FB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,11,5.5,0,0,8,5.5,2.0,11.0,1,0.0,0,0,0,Minnesota Vikings,NFC,NFC North
Hunter Henry,NWE,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,18,9.0,0,1,9,6.0,2.0,18.0,0,3.0,0,0,0,New England Patriots,AFC,AFC East
Elijah Higgins,ARI,TE,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,12,6.0,0,1,7,6.0,2.0,12.0,0,0.0,0,0,0,Arizona Cardinals,NFC,NFC West
Mack Hollins,BUF,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,25,12.5,1,2,14,12.5,2.0,25.0,0,0.0,0,0,0,Buffalo Bills,AFC,AFC East
Austin Hooper,NWE,TE,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,2,31,15.5,0,2,16,7.8,2.0,31.0,0,7.7,0,0,0,New England Patriots,AFC,AFC East
Tanner Hudson,CIN,TE,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,18,9.0,0,0,13,6.0,2.0,18.0,1,3.0,0,0,0,Cincinnati Bengals,AFC,AFC North
Hayden Hurst,LAC,TE,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,33,16.5,0,1,27,11.0,2.0,33.0,0,5.5,0,0,0,Los Angeles Chargers,AFC,AFC West
Bucky Irving,TAM,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,14,7.0,0,0,9,4.7,2.0,14.0,0,2.3,0,0,0,Tampa Bay Buccaneers,NFC,NFC South
Josh Jacobs,GNB,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,20,10.0,0,1,11,6.7,2.0,20.0,1,3.3,0,0,0,Green Bay Packers,NFC,NFC North
Diontae Johnson,CAR,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,2,19,9.5,0,2,11,3.2,2.0,19.0,0,6.3,0,0,0,Carolina Panthers,NFC,NFC South
Juwan Johnson,NOR,TE,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,26,13.0,1,1,16,8.7,2.0,26.0,0,4.300000000000001,0,0,0,New Orleans Saints,NFC,NFC South
Aaron Jones,MIN,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,15,7.5,0,0,9,7.5,2.0,15.0,0,0.0,0,0,0,Minnesota Vikings,NFC,NFC North
Kyle Juszczyk,SFO,FB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,40,20.0,0,1,34,13.3,2.0,40.0,0,6.699999999999999,0,0,0,San Francisco 49ers,NFC,NFC West
Tucker Kraft,GNB,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,37,18.5,0,1,29,12.3,2.0,37.0,0,6.199999999999999,0,0,0,Green Bay Packers,NFC,NFC North
Drake London,ATL,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,15,7.5,0,1,8,5.0,2.0,15.0,0,2.5,0,0,0,Atlanta Falcons,NFC,NFC South
Hunter Luepke,DAL,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,18,9.0,0,1,12,9.0,2.0,18.0,0,0.0,0,0,0,Dallas Cowboys,NFC,NFC East
Michael Mayer,LVR,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,3,1.5,0,1,3,1.0,2.0,3.0,0,0.5,0,0,0,Las Vegas Raiders,AFC,AFC West
Terry McLaurin,WAS,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,2,17,8.5,0,1,11,4.3,2.0,17.0,0,4.2,0,0,0,Washington Commanders,NFC,NFC East
Jonathan Mingo,CAR,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,2,40,20.0,0,1,35,8.0,2.0,40.0,1,12.0,0,0,0,Carolina Panthers,NFC,NFC South
Zack Moss,CIN,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,2,17,8.5,0,1,12,4.3,2.0,17.0,0,4.2,0,0,0,Cincinnati Bengals,AFC,AFC North
Raheem Mostert,MIA,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,10,5.0,0,1,7,3.3,2.0,10.0,0,1.7000000000000002,0,0,0,Miami Dolphins,AFC,AFC East
Johnny Mundt,MIN,TE,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,15,7.5,0,0,9,5.0,2.0,15.0,0,2.5,0,0,0,Minnesota Vikings,NFC,NFC North
Chigoziem Okonkwo,TEN,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,15,7.5,1,1,17,7.5,2.0,15.0,0,0.0,0,0,0,Tennessee Titans,AFC,AFC South
Chris Olave,NOR,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,11,5.5,0,1,17,5.5,2.0,11.0,0,0.0,0,0,0,New Orleans Saints,NFC,NFC South
Josh Oliver,MIN,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,27,13.5,0,1,22,13.5,2.0,27.0,0,0.0,0,0,0,Minnesota Vikings,NFC,NFC North
Isiah Pacheco,KAN,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,33,16.5,0,2,23,11.0,2.0,33.0,0,5.5,0,0,0,Kansas City Chiefs,AFC,AFC West
Josh Palmer,LAC,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,2,15,7.5,0,1,11,3.8,2.0,15.0,0,3.7,0,0,0,Los Angeles Chargers,AFC,AFC West
Curtis Samuel,BUF,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,15,7.5,0,0,8,7.5,2.0,15.0,0,0.0,0,0,0,Buffalo Bills,AFC,AFC East
Jaxon Smith-Njigba,SEA,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,19,9.5,0,2,10,9.5,2.0,19.0,0,0.0,0,0,0,Seattle Seahawks,NFC,NFC West
Pierre Strong,CLE,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,20,10.0,0,1,20,6.7,2.0,20.0,0,3.3,0,0,0,Cleveland Browns,AFC,AFC North
Tyquan Thornton,NWE,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,27,13.5,0,1,17,9.0,2.0,27.0,0,4.5,0,0,0,New England Patriots,AFC,AFC East
Tre Tucker,LVR,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,22,11.0,0,1,14,7.3,2.0,22.0,0,3.7,0,0,0,Las Vegas Raiders,AFC,AFC West
Nick Vannett,TEN,TE,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,11,5.5,0,0,8,5.5,2.0,11.0,0,0.0,0,0,0,Tennessee Titans,AFC,AFC South
Kenneth Walker III,SEA,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,6,3.0,0,1,8,2.0,2.0,6.0,0,1.0,0,0,0,Seattle Seahawks,NFC,NFC West
Jaylen Warren,PIT,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,13,6.5,0,0,9,6.5,2.0,13.0,0,0.0,0,0,0,Pittsburgh Steelers,AFC,AFC North
Zamir White,LVR,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,2,1.0,0,0,1,1.0,2.0,2.0,1,0.0,0,0,0,Las Vegas Raiders,AFC,AFC West
Emanuel Wilson,GNB,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,2,1.0,0,1,2,0.7,2.0,2.0,0,0.30000000000000004,0,0,0,Green Bay Packers,NFC,NFC North
Xavier Worthy,KAN,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,2,47,23.5,1,2,35,15.7,2.0,47.0,0,7.800000000000001,0,0,0,Kansas City Chiefs,AFC,AFC West
Nelson Agholor,BAL,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,6,6.0,0,0,6,6.0,1.0,6.0,0,0.0,0,0,0,Baltimore Ravens,AFC,AFC North
Braelon Allen,NYJ,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,9,9.0,0,0,9,9.0,1.0,9.0,0,0.0,0,0,0,New York Jets,AFC,AFC East
Calvin Austin,PIT,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,1,7,7.0,0,0,7,3.5,1.0,7.0,0,3.5,0,0,0,Pittsburgh Steelers,AFC,AFC North
Daniel Bellinger,NYG,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,3,3.0,0,0,3,3.0,1.0,3.0,0,0.0,0,0,0,New York Giants,NFC,NFC East
Trey Benson,ARI,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,5,5.0,0,0,5,5.0,1.0,5.0,0,0.0,0,0,0,Arizona Cardinals,NFC,NFC West
Jalen Brooks,DAL,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,18,18.0,0,1,18,18.0,1.0,18.0,0,0.0,0,0,0,Dallas Cowboys,NFC,NFC East
